,num-executors,executor.memory,executor.cores,driver.memory,driver.cores,spark.broadcast.blockSize,spark.reducer.maxSizeInFlight,spark.memory.fraction,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.io.compression.codec,spark.speculation,scheduler.mode,Collect At (sec),ReduceByKey(sec),Total(sec),
,15,8g,6,12g,6,4m,48m,0.6,TRUE,TRUE,,,,FAIR,4,26,30,
,15,8g,6,16g,6,4m,48m,0.6,TRUE,TRUE,,,,FAIR,4,26,30,
,20,8g,6,16g,6,4m,48m,0.6,TRUE,TRUE,,,,FAIR,6,39,45,
,15,8g,6,12g,6,4m,48m,0.6,FALSE,TRUE,,,,FAIR,4,26,30,
,,,,,,,,,,,,,,FAIR,5,41,46,
,,,,,,,,,,,,,,,,,,
,15,16g,6,10g,6,,,,,,,,,FAIR,4,16,20,
,10,16g,6,10g,6,,,,,,,,,FAIR,4,16,20,
,10,16g,4,10g,6,,,,,,,,,FAIR,4,29,33,
,8,20g,4,12g,4,,,,,,,,,FAIR,4,29,33,
,15,20g,6,12g,6,,,,,,,,,FAIR,4,15,19,
,15,20g,6,16g,6,,,,,,,,,FAIR,,,,
